user_id,filename,filetype,date_uploaded,filesize
9,example,.mp4,2026-11-23,68971
7,example,.xlsx,2017-05-27,79524
5,example,.jpeg,2022-08-03,6326
3,example,.jpeg,2022-10-13,66667
0,example,.pdf,2022-08-28,68085
1,example,.mp4,2022-10-21,44731
6,example,.xlsx,2017-02-02,89252
0,example,.csv,2021-07-21,88328
3,example,.pdf,2023-02-11,3903
4,example,.csv,2016-04-22,50610
7,example,.mp4,2017-02-12,58997
7,example,.csv,2018-06-19,39841
8,example,.jpeg,2022-06-05,32855
2,example,.xlsx,2017-01-04,6674
3,example,.mp4,2026-03-17,21348
9,example,.jpeg,2022-04-27,38711
7,example,.mp4,2018-01-03,79051
4,example,.csv,2025-10-26,9696
7,example,.pdf,2023-10-07,79226
6,example,.csv,2023-05-06,19695
4,example,.pdf,2023-09-11,84497
9,example,.csv,2016-12-03,15794
9,example,.pdf,2020-06-04,15489
8,example,.xlsx,2026-04-11,67475
1,example,.pdf,2017-02-28,35397
5,example,.mp4,2018-01-27,28425
4,example,.pdf,2026-01-10,96023
9,example,.csv,2016-08-03,40984
0,example,.jpeg,2023-07-10,89308
0,example,.pdf,2020-09-18,2860
9,example,.xlsx,2023-03-03,27091
3,example,.mp4,2021-06-21,4002
6,example,.jpeg,2016-11-06,60221
9,example,.mp4,2020-05-20,17384
1,example,.xlsx,2025-12-24,62583
7,example,.jpeg,2021-09-24,41854
8,example,.jpeg,2017-08-06,50576
8,example,.jpeg,2024-07-24,78536
9,example,.csv,2026-09-02,78891
6,example,.pdf,2026-12-16,20978
1,example,.pdf,2020-06-13,83426
9,example,.pdf,2020-07-14,84760
2,example,.xlsx,2020-07-26,668
1,example,.pdf,2018-05-14,18941
3,example,.pdf,2019-12-22,13238
7,example,.xlsx,2019-01-09,44820
8,example,.pdf,2018-03-03,78966
5,example,.mp4,2024-06-05,4598
4,example,.xlsx,2016-09-18,30706
5,example,.csv,2021-03-04,90687
9,example,.pdf,2019-05-12,38078
2,example,.pdf,2018-02-11,8208
6,example,.jpeg,2021-10-10,43849
4,example,.mp4,2025-09-09,18270
9,example,.mp4,2020-06-07,19992
9,example,.jpeg,2023-05-15,71532
9,example,.xlsx,2023-03-27,34132
6,example,.xlsx,2021-08-11,73981
6,example,.jpeg,2021-09-01,48562
4,example,.xlsx,2019-03-19,57695
8,example,.mp4,2024-01-14,68925
7,example,.jpeg,2026-06-24,36030
5,example,.mp4,2018-09-16,20713
3,example,.xlsx,2021-10-07,1798
6,example,.jpeg,2024-03-18,17860
2,example,.pdf,2024-06-19,36319
6,example,.csv,2024-10-15,61030
6,example,.mp4,2021-07-17,74317
9,example,.xlsx,2023-09-13,3125
8,example,.mp4,2019-12-07,58385
9,example,.mp4,2024-08-20,67219
1,example,.xlsx,2026-07-21,51786
2,example,.mp4,2022-12-11,79886
8,example,.csv,2017-09-17,44944
6,example,.mp4,2022-01-14,17592
2,example,.pdf,2026-08-26,38719
3,example,.pdf,2017-11-17,67437
1,example,.xlsx,2019-06-06,42244
2,example,.xlsx,2024-11-10,26751
8,example,.csv,2021-01-01,76955
7,example,.jpeg,2024-09-05,10329
9,example,.mp4,2015-01-26,69024
0,example,.pdf,2021-08-08,49989
4,example,.xlsx,2021-08-24,99721
9,example,.mp4,2026-01-23,86251
3,example,.csv,2026-09-11,90814
3,example,.pdf,2025-07-03,76778
2,example,.csv,2020-05-24,67019
8,example,.csv,2023-07-21,1851
3,example,.pdf,2021-06-07,27633
0,example,.mp4,2023-06-22,40106
4,example,.xlsx,2017-11-03,85071
6,example,.pdf,2021-01-22,23257
0,example,.pdf,2026-03-10,62922
4,example,.mp4,2025-04-25,21875
0,example,.mp4,2026-08-16,11202
9,example,.csv,2020-05-27,21572
4,example,.xlsx,2016-06-14,9472
0,example,.pdf,2019-10-14,5691
3,example,.mp4,2025-11-20,44222
2,example,.mp4,2023-09-13,18783
7,example,.csv,2019-02-26,26848
9,example,.mp4,2026-11-25,11109
1,example,.xlsx,2023-03-27,499
0,example,.xlsx,2016-05-06,48735
2,example,.xlsx,2026-03-13,71157
0,example,.jpeg,2015-10-02,44414
4,example,.xlsx,2022-10-07,54322
0,example,.jpeg,2020-09-06,85566
1,example,.mp4,2016-09-24,74240
9,example,.xlsx,2015-01-19,56605
8,example,.mp4,2021-02-04,64308
8,example,.pdf,2018-12-25,42985
1,example,.mp4,2020-07-16,14132
6,example,.mp4,2018-12-19,39794
2,example,.xlsx,2018-07-06,4305
2,example,.csv,2024-06-13,58859
2,example,.csv,2022-07-09,46593
9,example,.pdf,2019-08-02,48280
8,example,.csv,2016-11-03,39534
6,example,.pdf,2019-03-24,4561
8,example,.jpeg,2024-01-06,64827
0,example,.mp4,2026-11-20,92469
9,example,.mp4,2016-05-01,803
3,example,.pdf,2024-10-26,64652
7,example,.xlsx,2024-03-17,86246
0,example,.xlsx,2026-11-28,56865
4,example,.csv,2023-07-11,55966
2,example,.jpeg,2018-07-03,38708
2,example,.jpeg,2024-08-27,30811
1,example,.pdf,2017-05-01,91048
1,example,.xlsx,2020-02-26,39554
7,example,.mp4,2018-11-10,92653
6,example,.pdf,2020-01-13,74695
9,example,.xlsx,2016-12-04,78155
9,example,.csv,2020-09-23,50602
1,example,.xlsx,2022-09-17,27404
7,example,.csv,2017-01-22,33588
1,example,.xlsx,2015-02-16,80973
3,example,.pdf,2021-01-23,25000
1,example,.jpeg,2026-12-14,25250
0,example,.mp4,2020-05-26,98321
3,example,.csv,2015-01-28,64437
5,example,.xlsx,2021-10-16,85336
7,example,.mp4,2021-04-24,32235
0,example,.xlsx,2019-11-04,48146
3,example,.csv,2025-04-15,21634
7,example,.pdf,2021-04-09,23440
1,example,.pdf,2022-04-14,69463
3,example,.csv,2026-03-12,45170
2,example,.pdf,2015-08-07,8815
0,example,.pdf,2015-06-07,98191
0,example,.mp4,2026-09-20,80329
7,example,.pdf,2024-09-06,8153
6,example,.csv,2018-10-21,66772
8,example,.mp4,2026-01-21,50674
0,example,.csv,2022-05-01,53760
3,example,.xlsx,2020-08-01,93664
6,example,.pdf,2021-10-17,54896
3,example,.xlsx,2017-10-06,56678
1,example,.csv,2023-10-25,36738
7,example,.pdf,2022-11-16,45397
5,example,.pdf,2022-11-23,85982
9,example,.jpeg,2021-06-17,4421
1,example,.pdf,2024-07-22,76333
5,example,.jpeg,2025-07-24,66730
0,example,.csv,2019-10-17,86017
2,example,.pdf,2018-09-15,81381
8,example,.jpeg,2022-11-03,76049
1,example,.jpeg,2022-10-13,44914
7,example,.mp4,2020-12-26,75476
2,example,.jpeg,2019-05-13,90489
7,example,.xlsx,2022-03-15,51355
6,example,.csv,2015-06-24,19920
7,example,.jpeg,2017-03-03,75798
7,example,.csv,2015-01-10,84695
1,example,.mp4,2022-12-19,83512
8,example,.csv,2016-03-17,27193
5,example,.csv,2019-09-14,28651
3,example,.mp4,2022-03-25,21494
6,example,.jpeg,2019-04-08,62094
0,example,.pdf,2015-01-03,2068
8,example,.mp4,2015-10-24,38750
2,example,.mp4,2016-02-02,46690
4,example,.mp4,2026-03-04,73799
8,example,.csv,2021-11-13,46355
4,example,.jpeg,2024-09-04,93213
4,example,.pdf,2021-09-05,73607
3,example,.jpeg,2022-03-24,76807
4,example,.jpeg,2026-03-02,26371
0,example,.pdf,2026-11-02,80717
3,example,.jpeg,2026-08-09,7097
6,example,.pdf,2020-07-01,47501
9,example,.csv,2025-12-01,31463
7,example,.pdf,2019-09-25,97940
9,example,.xlsx,2017-11-12,23639
5,example,.mp4,2015-06-19,22439
9,example,.jpeg,2023-05-08,86968
1,example,.xlsx,2016-01-08,30668
3,example,.csv,2024-11-11,94239
5,example,.jpeg,2020-12-20,11268
3,example,.csv,2023-04-11,10297
3,example,.xlsx,2016-11-15,36985
7,example,.mp4,2022-12-10,51470
0,example,.jpeg,2023-09-16,96546
0,example,.jpeg,2026-06-01,43766
6,example,.xlsx,2018-06-18,14066
2,example,.pdf,2024-05-23,40261
5,example,.xlsx,2023-04-15,26208
5,example,.xlsx,2015-05-28,34546
3,example,.pdf,2016-10-19,73354
0,example,.mp4,2019-01-23,779
6,example,.pdf,2021-10-04,38611
4,example,.csv,2026-05-25,9778
0,example,.mp4,2019-11-06,26640
3,example,.pdf,2016-02-07,43093
2,example,.mp4,2021-12-23,15014
0,example,.xlsx,2018-03-10,79131
4,example,.pdf,2019-07-24,48023
8,example,.mp4,2024-01-09,43709
0,example,.pdf,2018-03-24,64402
3,example,.xlsx,2017-12-10,78536
9,example,.csv,2020-11-28,4640
7,example,.jpeg,2020-11-01,59639
6,example,.jpeg,2015-01-18,63399
1,example,.jpeg,2026-09-09,97614
6,example,.jpeg,2019-03-27,4275
5,example,.csv,2018-10-22,77196
6,example,.mp4,2024-10-08,35343
6,example,.jpeg,2017-10-22,10760
8,example,.mp4,2021-02-10,1421
9,example,.pdf,2016-09-15,59175
6,example,.xlsx,2018-04-12,96102
4,example,.csv,2026-01-10,52792
8,example,.pdf,2026-05-05,79904
1,example,.xlsx,2018-08-27,70123
2,example,.pdf,2026-05-20,81710
4,example,.pdf,2019-08-08,58852
0,example,.mp4,2020-11-25,7023
7,example,.pdf,2025-06-05,35037
3,example,.xlsx,2020-04-20,7519
9,example,.jpeg,2015-09-13,63697
3,example,.pdf,2018-08-19,24455
7,example,.jpeg,2022-11-06,15175
2,example,.csv,2026-05-03,48689
5,example,.jpeg,2023-07-10,74041
7,example,.xlsx,2020-09-11,44601
4,example,.xlsx,2025-12-18,64470
5,example,.pdf,2018-08-10,83850
4,example,.pdf,2021-11-20,85449
5,example,.jpeg,2016-03-06,8953
6,example,.xlsx,2019-02-24,28181
6,example,.pdf,2021-06-21,2203
9,example,.mp4,2019-05-21,98333
6,example,.xlsx,2022-02-03,87766
9,example,.jpeg,2023-01-06,18397
8,example,.jpeg,2024-04-03,85685
6,example,.xlsx,2026-02-17,82355
7,example,.jpeg,2020-03-26,83333
9,example,.xlsx,2021-03-21,32335
5,example,.csv,2024-08-07,43598
1,example,.mp4,2017-01-19,46152
3,example,.mp4,2018-09-04,76727
0,example,.csv,2023-01-12,10401
4,example,.csv,2022-12-04,58859
8,example,.jpeg,2017-02-14,55847
9,example,.csv,2018-12-25,60017
5,example,.pdf,2020-04-01,25298
8,example,.jpeg,2026-04-09,94515
7,example,.csv,2026-04-27,66222
0,example,.xlsx,2018-01-23,26585
1,example,.pdf,2019-05-09,16316
7,example,.csv,2022-02-06,81697
2,example,.mp4,2024-08-11,92135
5,example,.jpeg,2019-04-09,21628
9,example,.jpeg,2021-09-21,4860
5,example,.csv,2020-03-04,2201
0,example,.mp4,2015-01-08,13388
9,example,.mp4,2021-05-05,67619
9,example,.pdf,2015-11-08,5546
3,example,.jpeg,2015-01-24,53449
1,example,.jpeg,2016-10-19,37508
9,example,.pdf,2017-04-21,92641
9,example,.csv,2015-07-26,67883
2,example,.mp4,2023-01-19,12224
4,example,.csv,2016-11-20,96585
0,example,.csv,2016-10-21,51203
4,example,.csv,2017-09-20,16589
9,example,.mp4,2015-06-04,94544
3,example,.xlsx,2025-10-19,65560
1,example,.xlsx,2021-02-23,56729
1,example,.csv,2019-09-01,76807
0,example,.jpeg,2019-06-11,71947
8,example,.pdf,2025-05-27,91988
7,example,.jpeg,2018-10-19,53018
5,example,.jpeg,2026-07-12,23165
0,example,.xlsx,2026-07-07,16125
1,example,.csv,2023-11-12,68438
6,example,.pdf,2024-10-07,13343
0,example,.pdf,2023-04-28,73564
5,example,.mp4,2018-12-28,837
9,example,.pdf,2024-05-07,97962
8,example,.csv,2022-02-07,3210
8,example,.jpeg,2021-09-11,96319
5,example,.xlsx,2025-09-28,60157
3,example,.mp4,2026-12-20,75658
9,example,.xlsx,2017-03-18,70049
8,example,.pdf,2026-01-10,61118
7,example,.jpeg,2022-08-16,61217
8,example,.mp4,2017-10-27,6497
1,example,.pdf,2020-10-11,3300
0,example,.jpeg,2024-06-11,47504
8,example,.mp4,2024-12-03,35176
1,example,.jpeg,2026-04-28,37179
8,example,.xlsx,2025-09-28,86103
5,example,.mp4,2018-10-02,1613
4,example,.csv,2015-12-18,83808
6,example,.xlsx,2026-11-27,15812
8,example,.xlsx,2025-01-16,79025
2,example,.csv,2022-11-18,17184
3,example,.mp4,2024-02-12,41921
0,example,.xlsx,2024-02-07,49007
1,example,.pdf,2015-03-05,79150
9,example,.xlsx,2019-08-27,32397
1,example,.xlsx,2021-11-25,42134
1,example,.mp4,2017-09-16,19063
8,example,.pdf,2020-11-26,56087
8,example,.pdf,2018-05-25,62687
7,example,.jpeg,2019-01-03,94111
6,example,.jpeg,2022-07-28,15678
8,example,.xlsx,2015-03-10,49110
7,example,.xlsx,2023-01-03,74512
4,example,.pdf,2024-09-10,46237
3,example,.mp4,2017-06-21,89986
7,example,.csv,2022-06-24,52958
9,example,.xlsx,2020-02-27,66194
4,example,.mp4,2018-11-20,52855
2,example,.pdf,2026-10-13,87977
2,example,.pdf,2018-12-13,86616
8,example,.xlsx,2017-07-01,76508
3,example,.jpeg,2015-09-23,4310
3,example,.jpeg,2019-02-11,73812
4,example,.pdf,2024-10-28,71166
2,example,.csv,2022-08-02,75324
0,example,.pdf,2017-07-17,66421
1,example,.xlsx,2018-12-19,10490
4,example,.csv,2016-12-07,20026
0,example,.csv,2024-05-07,83698
5,example,.mp4,2017-08-02,60797
0,example,.mp4,2015-11-23,21669
3,example,.mp4,2015-12-28,38395
6,example,.mp4,2024-08-09,58051
3,example,.xlsx,2021-06-07,59758
2,example,.mp4,2020-08-03,34183
0,example,.csv,2016-09-09,43248
9,example,.xlsx,2025-09-04,1357
5,example,.mp4,2020-04-02,32004
9,example,.xlsx,2023-06-06,87250
2,example,.jpeg,2026-06-14,20180
8,example,.pdf,2026-04-25,69949
2,example,.pdf,2021-10-09,94853
8,example,.jpeg,2021-08-28,89076
5,example,.pdf,2016-09-15,82245
9,example,.mp4,2016-04-19,63648
4,example,.mp4,2023-01-19,70015
4,example,.pdf,2025-02-06,13993
1,example,.mp4,2022-09-09,3300
1,example,.pdf,2015-07-08,42088
0,example,.mp4,2025-08-24,89246
7,example,.xlsx,2023-04-26,62666
4,example,.xlsx,2025-02-13,75051
4,example,.csv,2016-02-11,55118
3,example,.xlsx,2023-08-09,7920
3,example,.mp4,2016-09-01,8606
2,example,.csv,2022-10-20,42277
1,example,.jpeg,2017-07-16,74067
2,example,.pdf,2023-01-28,14472
2,example,.csv,2017-07-02,75038
7,example,.jpeg,2026-07-11,43109
8,example,.csv,2016-06-18,94187
8,example,.csv,2019-11-23,72027
6,example,.jpeg,2021-12-11,4907
7,example,.mp4,2015-07-11,81929
4,example,.jpeg,2022-06-06,1887
3,example,.xlsx,2022-05-16,347
0,example,.pdf,2022-03-13,81432
5,example,.xlsx,2016-08-16,59106
5,example,.csv,2020-03-12,56045
9,example,.pdf,2017-11-13,57242
5,example,.csv,2021-12-19,6694
2,example,.xlsx,2020-04-18,55270
7,example,.csv,2022-07-26,77385
4,example,.jpeg,2026-10-09,96010
6,example,.pdf,2019-09-14,14642
8,example,.jpeg,2020-05-16,47797
7,example,.pdf,2018-02-21,8578
9,example,.xlsx,2018-02-28,80378
4,example,.mp4,2018-11-06,32468
0,example,.mp4,2019-07-09,13511
8,example,.mp4,2018-08-19,89971
9,example,.jpeg,2021-07-15,13533
0,example,.mp4,2019-06-16,52154
4,example,.pdf,2021-10-01,91066
2,example,.pdf,2025-06-19,80193
7,example,.pdf,2023-07-20,2899
5,example,.pdf,2026-09-08,23481
7,example,.pdf,2026-07-14,40273
2,example,.jpeg,2020-10-10,17340
9,example,.xlsx,2021-07-21,51461
4,example,.csv,2016-01-10,31078
2,example,.csv,2023-04-10,90279
4,example,.xlsx,2020-02-24,41344
9,example,.mp4,2018-07-24,41649
0,example,.xlsx,2016-06-17,91469
0,example,.jpeg,2017-08-08,93903
6,example,.csv,2018-11-22,4046
2,example,.csv,2021-09-06,43059
3,example,.mp4,2018-12-09,91048
5,example,.xlsx,2023-05-26,3512
6,example,.xlsx,2025-09-24,44617
6,example,.xlsx,2022-09-15,88113
9,example,.jpeg,2023-05-03,25297
1,example,.csv,2026-01-20,6815
3,example,.xlsx,2025-06-02,84132
2,example,.xlsx,2019-06-06,21389
4,example,.xlsx,2019-07-18,22490
7,example,.jpeg,2020-07-03,38228
8,example,.pdf,2020-07-15,29813
0,example,.mp4,2015-04-03,48699
0,example,.mp4,2022-05-02,23997
4,example,.jpeg,2026-02-25,3439
7,example,.xlsx,2024-09-26,64221
1,example,.jpeg,2017-01-14,52015
3,example,.csv,2021-07-11,62936
7,example,.mp4,2017-10-22,40989
2,example,.xlsx,2023-01-24,44833
5,example,.jpeg,2021-09-08,90801
5,example,.csv,2024-12-06,67007
9,example,.mp4,2022-05-06,50780
9,example,.jpeg,2020-07-17,76008
5,example,.pdf,2022-02-20,78408
4,example,.xlsx,2020-07-09,38042
0,example,.csv,2016-02-07,52439
4,example,.csv,2018-08-14,47251
6,example,.mp4,2025-07-28,58274
1,example,.jpeg,2023-10-03,24422
3,example,.mp4,2024-05-15,51478
3,example,.mp4,2018-12-19,1057
2,example,.xlsx,2019-02-03,24871
9,example,.xlsx,2017-10-22,10143
4,example,.csv,2025-03-19,4797
9,example,.csv,2020-04-15,48038
6,example,.csv,2019-10-22,465
3,example,.mp4,2021-06-27,48755
8,example,.jpeg,2025-12-13,93412
8,example,.xlsx,2018-06-17,61492
6,example,.pdf,2016-07-12,16479
5,example,.jpeg,2023-11-04,45314
4,example,.jpeg,2015-01-15,76826
0,example,.mp4,2017-09-19,39368
7,example,.csv,2024-01-15,5861
8,example,.jpeg,2015-05-09,39559
8,example,.mp4,2018-07-01,8191
2,example,.xlsx,2022-10-01,92797
2,example,.xlsx,2022-06-24,60479
0,example,.jpeg,2020-07-01,61934
2,example,.csv,2017-10-25,16987
8,example,.pdf,2015-06-05,74250
2,example,.pdf,2024-03-21,46287
8,example,.xlsx,2017-07-20,81647
0,example,.csv,2016-02-23,7218
4,example,.csv,2020-05-22,73687
5,example,.jpeg,2025-04-21,87498
6,example,.xlsx,2019-07-07,43601
8,example,.xlsx,2023-01-24,25917
4,example,.pdf,2019-11-24,98908
0,example,.jpeg,2025-01-09,79333
4,example,.mp4,2020-03-15,54205
1,example,.pdf,2018-09-11,8263
1,example,.pdf,2019-10-21,74014
7,example,.jpeg,2015-07-25,35477
3,example,.mp4,2019-02-27,16173
4,example,.csv,2018-10-13,55338
0,example,.pdf,2026-07-07,31738
1,example,.csv,2021-07-17,36045
9,example,.pdf,2022-09-26,90433
3,example,.pdf,2026-11-22,80364
1,example,.jpeg,2016-02-17,93994
7,example,.pdf,2017-03-11,91732
8,example,.mp4,2015-10-11,38703
4,example,.xlsx,2024-06-09,17294
6,example,.xlsx,2019-04-07,45551
3,example,.jpeg,2015-02-10,12289
0,example,.pdf,2022-10-10,91575
9,example,.csv,2021-08-16,68249
1,example,.mp4,2024-01-10,14305
4,example,.xlsx,2020-03-18,49731
2,example,.mp4,2017-05-28,81672
3,example,.pdf,2022-08-07,38014
7,example,.jpeg,2024-12-21,36023
6,example,.pdf,2020-05-05,37279
1,example,.pdf,2026-06-14,79986
2,example,.csv,2016-11-23,60432
0,example,.pdf,2019-04-06,73289
9,example,.csv,2022-07-14,7711
8,example,.csv,2023-05-24,42941
1,example,.jpeg,2025-11-07,24826
9,example,.pdf,2025-01-26,3066
1,example,.pdf,2025-10-03,13081
7,example,.jpeg,2021-12-03,40817
7,example,.jpeg,2018-03-09,10899
6,example,.xlsx,2022-07-03,95662
1,example,.csv,2026-08-22,80197
7,example,.csv,2018-04-28,47726
1,example,.jpeg,2019-01-14,90567
1,example,.pdf,2026-12-06,74129
1,example,.csv,2023-10-02,49740
0,example,.csv,2025-09-28,73576
5,example,.xlsx,2015-12-25,77065
5,example,.csv,2016-04-11,99705
7,example,.csv,2021-10-08,75322
8,example,.xlsx,2024-02-21,76876
7,example,.csv,2026-09-26,47054
